,states,x,y
0,Jammu And Kashmir,-167.0,321.0
1,Himachal Pradesh,-130.0,247.0
2,Punjab,-173.0,213.0
3,Uttarakhand,-80.0,196.0
4,Haryana,-159.0,165.0
5,Delhi,-131.0,148.0
6,Rajasthan,-232.0,98.0
7,Uttar Pradesh,-58.0,109.0
8,Bihar,80.0,65.0
9,Gujarat,-260.0,-6.0
10,Madhya Pradesh,-107.0,-2.0
11,Jharkhand,66.0,20.0
12,West Bengal,132.0,-10.0
13,Maharashtra,-167.0,-91.0
14,Chhattisgarh,-36.0,-75.0
15,Odisha,41.0,-74.0
16,Telangana,-90.0,-133.0
17,Goa,-210.0,-208.0
18,Karnataka,-173.0,-222.0
19,Andhra Pradesh,-83.0,-222.0
20,Kerala,-152.0,-337.0
21,Tamil Nadu,-102.0,-327.0
22,Sikkim,152.0,119.0
23,Arunachal Pradesh,309.0,144.0
24,Meghalaya,229.0,64.0
25,Assam,267.0,84.0
26,Nagaland,300.0,76.0
27,Tripura,232.0,16.0
28,Manipur,284.0,38.0
29,Mizoram,261.0,3.0
